feature,signed_normalized_weight,shap_importance,domain_priority,hrs_component
age,0.020781659107997306,0.29307236915047663,0.6666666666666667,0.13982830187236012
trestbps,0.015459519905680749,0.17339636518321222,0.75,0.12050093697061898
chol,-0.08011330289437778,0.6560372163364557,0.5833333333333334,0.13346146457456004
thalch,-0.03738106712690538,0.43149750138831894,0.6666666666666667,0.1267994199554967
oldpeak,0.08870776406197174,1.0,0.9166666666666666,0.3537621015100469
ca,0.11216976677742208,0.6421642950612807,0.9166666666666666,0.2986183624231183
sex_Male,0.10180198609579096,0.7512868522852902,0.0,0.22151876072411172
cp_atypical angina,-0.13680519788707107,0.9302143482273763,1.0,0.19027923112452552
cp_non-anginal,-0.09663556631635564,0.5651182328543101,1.0,0.1453787501494131
cp_typical angina,-0.05453657292436188,0.12880013558191794,1.0,0.08758442606933028
fbs_True,0.021972551811420816,0.060391401096545574,0.16666666666666663,0.04412573315397035
restecg_normal,-0.007985572782311821,0.04783247467144488,0.33333333333333326,0.03730992732000403
restecg_st-t abnormality,0.014773133255648331,0.0,0.33333333333333326,0.04367452661228716
exang_True,0.06419948267826182,0.6481391928280589,0.9166666666666666,0.2662341431070617
slope_flat,0.07476926271439564,0.5678086455519145,0.8333333333333334,0.2492335463437932
slope_upsloping,-0.0007175128808943342,0.054291150339049854,0.8333333333333334,0.09368930438451728
thal_normal,-0.03139797319676642,0.3079822050887884,0.8333333333333334,0.12295119311335453
thal_reversable defect,0.03979210758236621,0.2536239408752369,0.8333333333333334,0.16191259681603706
